platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,rocketleague,RocketLeague,57781936,829198,66556,23469,2120,8320,2112103,Rocket League,https://static-cdn.jtvnw.net/jtv_user_pictures/4f182bee-012a-4955-9bd2-55d903f84276-profile_image-300x300.png,,en,partner,Organization
twitch,handongsuk,한동숙,139470326,805519,32960,15617,3095,1031,2407244,For The King,https://static-cdn.jtvnw.net/jtv_user_pictures/c5a2baa2-74ed-4b72-b047-8326572c9bfa-profile_image-300x300.png,KR,ko,partner,Male
twitch,westcol,WestCOL,168732568,799627,98087,29987,1600,48200,3544516,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/61709703-17fd-4190-a5de-82d6aba055a6-profile_image-300x300.png,CO,es,partner,Male
twitch,lirik,LIRIK,23161357,788354,35640,20522,2305,2544,2000710,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/7ddf1f29-544d-4b88-bbed-16e74d836792-profile_image-300x300.png,US,en,partner,Male
twitch,elmariana,ElMariana,496795673,787842,48314,32601,1450,33319,3227098,The Last of Us Part I,https://static-cdn.jtvnw.net/jtv_user_pictures/0107210e-a98c-409d-92a6-1caf70bb3953-profile_image-300x300.png,MX,es,partner,Male
twitch,trymacs,Trymacs,64342766,781025,30724,20113,2330,9919,3005409,Clash of Clans,https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-300x300.png,DE,de,partner,Male
twitch,noway4u_sir,NoWay4u_Sir,85397463,773868,23241,14288,3250,1410,1420399,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male
twitch,zackrawrr,zackrawrr,552120296,745031,28182,14926,2995,14206,1337285,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,without status,Male
twitch,k4sen,k4sen,44525650,739977,25057,10725,4140,4776,1972209,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png,JP,ja,partner,Male
twitch,penta,PENTA,84316241,731800,11034,5552,7910,3157,1258863,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/2a74b7da-4c2f-4a20-8a02-c7d77064c281-profile_image-300x300.png,US,en,partner,Male
twitch,casimito,casimito,254489093,723895,51736,25253,1720,9437,1744162,Sports,https://static-cdn.jtvnw.net/jtv_user_pictures/32805a78-d927-48bd-8089-bf5efed53ea4-profile_image-300x300.png,BR,pt,partner,Male
twitch,gorgc,Gorgc,108268890,723837,26284,13701,3170,3164,1659655,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-300x300.jpeg,SE,en,partner,Male
twitch,summonersinnlive,SummonersInnLive,40336240,722560,37298,9809,4420,1810,1162568,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/09591203-8837-4d41-abd7-2f2e5ab5e451-profile_image-300x300.png,DE,de,partner,Organization
twitch,rubius,Rubius,39276140,710421,45631,25679,1660,24072,2862065,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-300x300.jpg,ES,es,partner,Male
twitch,knekro,knekro,152633332,697049,42320,20353,2055,14745,1756342,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-300x300.jpeg,ES,es,partner,Male
twitch,jltomy,JLTomy,155601320,672755,21788,12615,3200,1993,2091834,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/aa2bc80a-e317-494a-a94d-7492889e4f66-profile_image-300x300.png,FR,fr,partner,Male
twitch,amouranth,Amouranth,125387632,621448,17366,9550,3905,13213,2696841,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/73a412eb-6d1c-4a1d-8711-aca8e1d144cb-profile_image-300x300.png,US,en,partner,Female
twitch,quin69,Quin69,56649026,604897,16695,11185,3245,1407,1005812,Terraria,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male
twitch,dansgaming,DansGaming,7236692,604703,9199,5075,7150,495,829508,Resident Evil 4,https://static-cdn.jtvnw.net/jtv_user_pictures/79c71a35-8944-41d7-b9cd-1aaaae4a53ee-profile_image-300x300.png,US,en,partner,Male
twitch,chap,Chap,192678094,604165,6480,3608,10050,781,349905,The Cycle: Frontier,https://static-cdn.jtvnw.net/jtv_user_pictures/57b56dba-5ff2-4da6-9977-05c8d862d294-profile_image-300x300.png,US,en,partner,Male
twitch,tumblurr,Tumblurr,77827128,593162,24389,12466,2855,5053,1799214,Slots,https://static-cdn.jtvnw.net/jtv_user_pictures/8cabb91c-1fea-41f3-ac28-2938e918ead4-profile_image-300x300.jpeg,IT,it,partner,Male
twitch,pokelawls,pokelawls,12943173,591003,21956,10476,3385,7198,1312182,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/aa68742d-ae1f-4fb7-9d0c-e1756d5204b0-profile_image-300x300.jpg,US,en,partner,Male
twitch,shuteye_orange,蝦愛橘子,25202416,586468,7472,3499,10060,691,445880,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-300x300.png,TW,zh,partner,Male
twitch,alanzoka,alanzoka,38244180,585960,26507,20206,1740,11729,1743412,God of War,https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-300x300.png,BR,pt,partner,Male
twitch,k3soju,k3soju,128293484,572754,17911,10825,3175,1763,941325,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male
twitch,agustabell212,Agustabell212,114772787,570614,12787,5664,6045,4477,534218,Rust,https://static-cdn.jtvnw.net/jtv_user_pictures/d3e609e5-8a21-48ac-92e9-c2ff2a305c95-profile_image-300x300.jpg,ES,es,partner,Male
twitch,tfue,Tfue,60056333,564574,27587,11742,2885,12567,2594851,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-300x300.png,US,en,partner,Male
twitch,ml7support,mL7support,51929371,562834,29321,11586,2915,18289,1090729,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/94286e18-367b-4795-98a5-d8dd530d4d0a-profile_image-300x300.png,RO,en,partner,Male
twitch,lolpacifictw,lolpacifictw,485855940,560699,36566,15907,2115,2201,1298045,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/3a0a20f0-b3b1-4c9b-bfa7-baba9dda8d7e-profile_image-300x300.png,TW,zh,partner,Organization
twitch,moonmoon,MOONMOON,121059319,535550,17481,12384,2595,1066,963993,Terraria,https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-300x300.png,US,en,partner,Male
twitch,moistcr1tikal,moistcr1tikal,132230344,529305,31292,13017,2440,21295,1150669,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/df6f775d-8794-4cbe-aa85-dbdc72975696-profile_image-300x300.png,US,en,partner,Male
twitch,btssmash,btssmash,214062798,524728,75423,3383,9310,3720,1444349,Super Smash Bros. Melee,https://static-cdn.jtvnw.net/jtv_user_pictures/ffdc21f2-f4f9-4ee7-b94d-d7b87df7edc3-profile_image-300x300.jpg,,en,partner,Organization
twitch,baiano,Baiano,140772558,510799,24401,13714,2235,1612,735864,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/ec5ec8ec-94ec-4a6c-af54-e2ba0bb6edfc-profile_image-300x300.png,BR,pt,partner,Male
twitch,recrent,Recrent,39154778,509824,13418,7182,4260,7302,1660588,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/a80add0f-3771-4679-84b4-ea0c6f7336ee-profile_image-300x300.png,RU,ru,partner,Male
twitch,nickmercs,NICKMERCS,15564828,490499,30581,19050,1545,2919,1587806,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/b3c347ed-1a7a-40a2-8bee-8a7c4426eb33-profile_image-300x300.png,US,en,partner,Male
twitch,antoinedaniel,AntoineDaniel,135468063,488146,26398,11763,2490,2899,1381859,Among Us,https://static-cdn.jtvnw.net/jtv_user_pictures/7474d9d8-ab27-46c8-95f4-0c71b1878c78-profile_image-300x300.png,FR,fr,partner,Male
twitch,alexelcapo,alexelcapo,36138196,478825,28974,17308,1660,6274,1652225,Pokémon Community Game,https://static-cdn.jtvnw.net/jtv_user_pictures/78528288-6216-4e21-872b-7f415b602a9a-profile_image-300x300.png,ES,es,partner,Male
twitch,elraenn,Elraenn,165080419,474526,41159,25086,1135,12614,1720319,Ranch Simulator,https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-300x300.png,TR,tr,partner,Male
twitch,pgl_dota2en4,PGL_DOTA2EN4,194702141,462726,111167,21607,1285,25694,2976186,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/bc90f4eb-40bf-46bd-9d32-7ea2da2e38f3-profile_image-300x300.png,,en,partner,
twitch,elajjaz,Elajjaz,26921830,462011,12145,7921,3500,285,717690,The Evil Within,https://static-cdn.jtvnw.net/jtv_user_pictures/elajjaz-profile_image-fcfc55e0804b6bfd-300x300.png,SE,en,partner,Male
twitch,domingo,Domingo,40063341,461461,127684,29456,940,12987,1403602,Talk Shows & Podcasts,https://static-cdn.jtvnw.net/jtv_user_pictures/3cdae7df-600c-4833-8dfe-8d2abc5a3b25-profile_image-300x300.png,FR,fr,partner,Male
twitch,kamet0,Kamet0,27115917,456896,38936,13916,1970,3229,1692172,Rocket League,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male
twitch,qojqva,qojqva,49440419,452526,11228,6910,3930,3365,970830,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/qojqva-profile_image-a209b7bcf1dd2104-300x300.jpeg,DE,en,partner,Male
twitch,shylily,Shylily,100901794,448679,13207,7827,3440,16584,1213774,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/b71dc71f-0343-4809-bb85-8d13236effb3-profile_image-300x300.png,DE,en,partner,Female
twitch,tarik,tarik,36340781,441909,19250,12305,2155,4719,1691339,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-300x300.png,US,en,partner,Male
twitch,cohhcarnage,CohhCarnage,26610234,439814,33955,9084,2905,297,480683,Scorn,https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-300x300.png,US,en,partner,Male
twitch,sodapoppin,sodapoppin,26301881,439223,26436,16840,1565,932,1138474,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male
twitch,supertf,supertf,59635827,433085,20766,8303,3130,12477,926470,Overwatch 2,https://static-cdn.jtvnw.net/jtv_user_pictures/supertf-profile_image-4a7fae211a68ae1f-300x300.jpeg,US,en,partner,Male
